1569023536643321856,"Pokémon can get very dark… 
(video is up go look at it 👍) https://t.co/DV9aF1lpHN",57,"Pokémon can get very dark… 
(video is up go look at it 👍) https://t.co/DV9aF1lpHN"
1569132241598533634,"@Pachec0Felipe @go_there_ @MisterDisco_ @Pokemon This is true. If you're ever walking somewhere and feel like someone is watching you, someone probably is and that someone is probably a crab.",191,"@Pachec0Felipe @go_there_ @MisterDisco_ @Pokemon This is true. If you're ever walking somewhere and feel like someone is watching you, someone probably is and that someone is probably a crab."
1569132100703617027,omg so i’m at the park playing pokémon go and there’s a group of teenage boys taking turns pushing each other on the swings it’s so wholesome 🥹,143,omg so i’m at the park playing pokémon go and there’s a group of teenage boys taking turns pushing each other on the swings it’s so wholesome 🥹
1569132054964584449,"Raid invitations , Gift exchanges and Best friend！ I’m good with anything ！
I’m looking forward to playing Pokemon Go with you！！！
【Trainer Code】
◆ 0000 2658 7017 
◆ 9999 5477 5860

#PokemonGO #PokemonGOfriends #PokemonGOraids",225,"Raid invitations , Gift exchanges and Best friend！ I’m good with anything ！
I’m looking forward to playing Pokemon Go with you！！！
【Trainer Code】
◆ 0000 2658 7017 
◆ 9999 5477 5860

#PokemonGO #PokemonGOfriends #PokemonGOraids"
1569131433696051200,@louisbeastars I agree but I think more importantly we should go into high-income areas and steal from the Walmarts there (reason: THEY CHARGED ME $20 FOR A DIGIMON CARD GAME STARTER DECK THAT'S SUPPOSED TO RETAIL FOR $15 AND THEY CHARGE $25 FOR POKEMON PLUSH THAT COST $15 EVEN AT TARGET),289,@louisbeastars I agree but I think more importantly we should go into high-income areas and steal from the Walmarts there (reason: THEY CHARGED ME $20 FOR A DIGIMON CARD GAME STARTER DECK THAT'S SUPPOSED TO RETAIL FOR $15 AND THEY CHARGE $25 FOR POKEMON PLUSH THAT COST $15 EVEN AT TARGET)
1569131286329196544,How did we go from gaslighting jack into pokemon,48,How did we go from gaslighting jack into pokemon
1569131285041545216,I caught 8 Deoxys today in Pokémon GO and none of them were shiny 😵‍💫 https://t.co/Goqoktk2kK,69,I caught 8 Deoxys today in Pokémon GO and none of them were shiny 😵‍💫 https://t.co/Goqoktk2kK
1569130997999886337,@KennySaito1 Go back to your mom’s basement and play Pokémon pussy.,67,@KennySaito1 Go back to your mom’s basement and play Pokémon pussy.
1569130937031483394,"The Voice of Geeks Network is NOW LIVE on Twitch: @olr 929: Back from DragonCon, New Marvel Game from Pokemon Go Creators, Ubisoft Forward, Discussion on all this and MORE, LIVE! https://t.co/frT5IukltE",202,"The Voice of Geeks Network is NOW LIVE on Twitch: @olr 929: Back from DragonCon, New Marvel Game from Pokemon Go Creators, Ubisoft Forward, Discussion on all this and MORE, LIVE! https://t.co/frT5IukltE"
1569130721083817985,@fungah_acnh No way not you playing Pokémon go too 😱,52,@fungah_acnh No way not you playing Pokémon go too 😱
1569130585188347904,That one episode of Pawn stars where they let Tens of thousands of dollars of Pokemon cards go lives in my head rent free,121,That one episode of Pawn stars where they let Tens of thousands of dollars of Pokemon cards go lives in my head rent free
