1569053288460345345,"Over the past week, our teams started their @neccgames activation matches with the following records:

VALORANT A: 1W-0L
VALORANT B: 1W-1L
Smash Ultimate Crews: 2W-0L
League of Legends: 0W-1L

All teams (including Rocket League) will finish their activation matches this week!",276,"Over the past week, our teams started their @neccgames activation matches with the following records:

VALORANT A: 1W-0L
VALORANT B: 1W-1L
Smash Ultimate Crews: 2W-0L
League of Legends: 0W-1L

All teams (including Rocket League) will finish their activation matches this week!"
1569053040572784644,"After exciting matches, our Varsity Rocket League team 3-1 University of North Georgia!

#GriffonGamers #rocketleague #GameDay https://t.co/epUh9iaZGN",126,"After exciting matches, our Varsity Rocket League team 3-1 University of North Georgia!

#GriffonGamers #rocketleague #GameDay https://t.co/epUh9iaZGN"
1569052975691354112,"@Durghan @KashKaroon The only other games I played in the past while were fallen order, squadrons, stray and I think I tried rocket league once. That’s in the past 4 years. NMS has been my mainstay, my coping mechanism, a source of endless joy",243,"@Durghan @KashKaroon The only other games I played in the past while were fallen order, squadrons, stray and I think I tried rocket league once. That’s in the past 4 years. NMS has been my mainstay, my coping mechanism, a source of endless joy"
1569052930623283200,Check out my broadcast from my PlayStation 4! #PS4live (Rocket League®)  live at https://t.co/Gz1fsW5OZj,104,Check out my broadcast from my PlayStation 4! #PS4live (Rocket League®)  live at https://t.co/Gz1fsW5OZj
1569052880975323136,"Had an absolute whale of a time playing Rocket League with the gaffer, @alzasto on stream there; our talent scouts have taken a keen interest in him and will be watching his progress with eager intent. https://t.co/BX1gE94w0J",201,"Had an absolute whale of a time playing Rocket League with the gaffer, @alzasto on stream there; our talent scouts have taken a keen interest in him and will be watching his progress with eager intent. https://t.co/BX1gE94w0J"
1569052852391215105,Check out my broadcast from my PlayStation 4! #PS4live (Rocket League®)  live at https://t.co/PhpzLcIiy6,104,Check out my broadcast from my PlayStation 4! #PS4live (Rocket League®)  live at https://t.co/PhpzLcIiy6
1569052556969771013,@KOI Rocket League,18,@KOI Rocket League
1569052063258267654,I guess I am that bitch that plays rocket league,48,I guess I am that bitch that plays rocket league
1569051911768137728,"@Cliffdogg_ Man I miss gears 1 and gears ue. It's a shame that microsoft developers haven't been able to improve want bungie did with halo and epic did with gears 1. Both franchises just dying now. 

I'm thinking pokemon go, rocket league, fall guys and mario kart for my games to stream",287,"@Cliffdogg_ Man I miss gears 1 and gears ue. It's a shame that microsoft developers haven't been able to improve want bungie did with halo and epic did with gears 1. Both franchises just dying now. 

I'm thinking pokemon go, rocket league, fall guys and mario kart for my games to stream"
1569051886665220097,@kirawontmiss This guy took his rocket league carrier way too professionally💀,77,@kirawontmiss This guy took his rocket league carrier way too professionally💀
1569051237567414273,"📣Mizzou Rocket League placed 2nd overall in the #NASCAR LAN at the Kansas Speedway today!

Wish our Premier Rocket League team luck as they continue through their season. 🤞

#Mizzou #RocketLeague #MIZGG https://t.co/yAEuD9MGWE",202,"📣Mizzou Rocket League placed 2nd overall in the #NASCAR LAN at the Kansas Speedway today!

Wish our Premier Rocket League team luck as they continue through their season. 🤞

#Mizzou #RocketLeague #MIZGG https://t.co/yAEuD9MGWE"
1569051130058969088,"🏆 Tournament // Rocket League

🎮 We Need You!

• Show off your skills and take your rewards! 
• Registration dates coming soon.

🏅 @  Your Squad
# #twitch #competitive #tournament #gamer #gamingcommunity #twitchtv #smallstreamers #gaming #gamers #twitchstreamer #RocketLeague https://t.co/VfvOIA6uGL",275,"🏆 Tournament // Rocket League

🎮 We Need You!

• Show off your skills and take your rewards! 
• Registration dates coming soon.

🏅 @  Your Squad
# #twitch #competitive #tournament #gamer #gamingcommunity #twitchtv #smallstreamers #gaming #gamers #twitchstreamer #RocketLeague https://t.co/VfvOIA6uGL"
1569050655234428930,@rodrigovale170 @kirawontmiss @Matsu_Junn *rocket league songs*,63,@rodrigovale170 @kirawontmiss @Matsu_Junn *rocket league songs*
1569050613303894016,Check out my broadcast from my PlayStation 4! #PS4live (Rocket League®)  live at https://t.co/ghBiTminN9,104,Check out my broadcast from my PlayStation 4! #PS4live (Rocket League®)  live at https://t.co/ghBiTminN9
